"meta_id","post_id","meta_key","meta_value"
289627,127,"_thumbnail_id",164
289621,127,"_cor_titulo_banner","field_5a2a85450db66"
289620,127,"cor_titulo_banner","#FFFFFF"
289619,127,"_cor_fundo_banner","field_5a2a84cb0db65"
289618,127,"cor_fundo_banner","#fdfbf3"
289617,127,"_imagem_banner","field_5a2a82fde0753"
289616,127,"imagem_banner",""
289516,127,"_cwp_txt_lavagem","KIMBOPRINT"
289515,127,"_cwp_txt_indicado","TECIDO"
289514,127,"_price",100.00
289513,127,"_price",50.00
289476,127,"_edit_last",1
289475,127,"_edit_lock","1512741817:1"
289303,127,"data_disponivel",""
289302,127,"rendimento",""
289301,127,"fabricacao_descricao",""
289300,127,"fabricacao_tipo",""
289299,127,"aposta",""
289298,127,"familia","ALGD"
289297,127,"composicao_descricao","100% ALGODAO RECICLADO"
289296,127,"composicao_codigo","000244"
289295,127,"largura_ate",145
289294,127,"largura_de",140
289293,127,"sku","KIMBOPRINT L15586 DGZ2"
289292,127,"_product_version","3.2.5"
289291,127,"_product_attributes","a:1:{s:15:\"tipo-de-usuario\";a:6:{s:4:\"name\";s:16:\"Tipo de Usuário\";s:5:\"value\";s:7:\"PJ | PF\";s:8:\"position\";i:0;s:10:\"is_visible\";i:1;s:12:\"is_variation\";i:1;s:11:\"is_taxonomy\";i:0;}}"
289290,127,"_downloadable_files","a:0:{}"
289289,127,"_wc_review_count",0
289288,127,"_wc_rating_count","a:0:{}"
289287,127,"_wc_average_rating",0
289286,127,"_stock_status","instock"
289285,127,"_stock",NULL
289284,127,"_download_expiry",-1
289283,127,"_download_limit",-1
289282,127,"_product_image_gallery",177
289281,127,"_downloadable","no"
289280,127,"_virtual","no"
289279,127,"_default_attributes","a:1:{s:15:\"tipo-de-usuario\";s:2:\"PF\";}"
289278,127,"_purchase_note",""
289277,127,"_crosssell_ids","a:0:{}"
289276,127,"_upsell_ids","a:0:{}"
289275,127,"_height",""
289274,127,"_width",""
289273,127,"_length",""
289272,127,"_weight",""
289271,127,"_sold_individually","no"
289270,127,"_backorders","no"
289269,127,"_manage_stock","no"
289268,127,"_tax_class",""
289267,127,"_tax_status","taxable"
289266,127,"total_sales",0
289265,127,"_sale_price_dates_to",""
289264,127,"_sale_price_dates_from",""
289263,127,"_sale_price",""
289262,127,"_regular_price",""
289261,127,"_sku",170021
